object_word,verb,gender,tier,dep_type,is_dialogue,example
she,amuse,female,pronoun,dobj,False,"But wishes were vain; or, at best, could serve only to amuse her in the hurry and confusion of the following hour."
herself,find,female,pronoun,dobj,False,"An hour, however, saw the whole completed; and Mr. Gardiner, meanwhile, having settled his account at the inn, nothing remained to be done but to go; "
he,give,male,pronoun,dobj,True,"Can you, yourself, Lizzie, so wholly give him up, as to believe him capable of it?”"
she,marry,female,pronoun,dobj,True,"His most particular friend, you see by Jane’s account, was persuaded of his never intending to marry her."
woman,marry,female,role_noun,dobj,True,Wickham will never marry a woman without some money.
lydia,have,female,name,dobj,True,"And what claims has Lydia, what attractions has she beyond youth, health, and good humour, that could make him for her sake forego every chance of ben"
himself,benefit,male,pronoun,dobj,True,"And what claims has Lydia, what attractions has she beyond youth, health, and good humour, that could make him for her sake forego every chance of ben"
brother,have,male,role_noun,dobj,True,"Lydia has no brothers to step forward; and he might imagine, from my father’s behaviour, from his indolence and the little attention he has ever seeme"
woman,captivate,female,role_noun,dobj,True,And we all know that Wickham has every charm of person and address that can captivate a woman.”
girl,see,female,role_noun,dobj,True,"From what he said of Miss Darcy, I was thoroughly prepared to see a proud, reserved, disagreeable girl."
she,find,female,pronoun,dobj,True,He must know that she was as amiable and unpretending as we have found her.”
he,admire,male,pronoun,dobj,True,"When first he entered the corps, she was ready enough to admire him; but so we all were."
she,distinguish,female,pronoun,dobj,True,Every girl in or near Meryton was out of her senses about him for the first two months: but he never distinguished _her_ by any particular attention; 
she,treat,female,pronoun,dobj,True,Every girl in or near Meryton was out of her senses about him for the first two months: but he never distinguished _her_ by any particular attention; 
she,meet,female,pronoun,dobj,False,"Elizabeth jumped out; and after giving each of them a hasty kiss, hurried into the vestibule, where Jane, who came running downstairs from her mother’"
she,embrace,female,pronoun,dobj,False,"Elizabeth, as she affectionately embraced her, whilst tears filled the eyes of both, lost not a moment in asking whether anything had been heard of th"
he,beg,male,pronoun,dobj,True,"He wrote me a few lines on Wednesday, to say that he had arrived in safety, and to give me his directions, which I particularly begged him to do."
she,assure,female,pronoun,dobj,False,"Her sister, however, assured her of her being perfectly well; and their conversation, which had been passing while Mr. and Mrs. Gardiner were engaged "
she,desert,female,pronoun,dobj,False,"The sanguine hope of good, however, which the benevolence of her heart suggested, had not yet deserted her; she still expected that it would all end w"
wickham,fight,male,name,dobj,True,"And now here’s Mr. Bennet gone away, and I know he will fight Wickham, wherever he meets him, and then he will be killed, and what is to become of us "
he,meet,male,pronoun,dobj,True,"And now here’s Mr. Bennet gone away, and I know he will fight Wickham, wherever he meets him, and then he will be killed, and what is to become of us "
she,tell,female,pronoun,dobj,False,"They all exclaimed against such terrific ideas; and Mr. Gardiner, after general assurances of his affection for her and all her family, told her that "
bennet,assist,male,name,dobj,False,"They all exclaimed against such terrific ideas; and Mr. Gardiner, after general assurances of his affection for her and all her family, told her that "
lydia,recover,female,name,dobj,False,"They all exclaimed against such terrific ideas; and Mr. Gardiner, after general assurances of his affection for her and all her family, told her that "
lydia,tell,female,name,dobj,True,"And as for wedding clothes, do not let them wait for that, but tell Lydia she shall have as much money as she chooses to buy them, after they are marr"
bennet,keep,male,name,dobj,True,"And, above all things, keep Mr. Bennet from fighting."
he,tell,male,pronoun,dobj,True,"Tell him what a dreadful state I am in--that I am frightened out of my wits; and have such tremblings, such flutterings all over me, such spasms in my"
lydia,tell,female,name,dobj,True,"And tell my dear Lydia not to give any directions about her clothes till she has seen me, for she does not know which are the best warehouses."
she,assure,female,pronoun,dobj,False,"But Mr. Gardiner, though he assured her again of his earnest endeavours in the cause, could not avoid recommending moderation to her, as well in her h"
she,leave,female,pronoun,dobj,False,"But Mr. Gardiner, though he assured her again of his earnest endeavours in the cause, could not avoid recommending moderation to her, as well in her h"
she,involve,female,pronoun,dobj,True,"Then perceiving in Elizabeth no inclination of replying, she added, “Unhappy as the event must be for Lydia, we may draw from it this useful lesson:--"
herself,console,female,pronoun,dobj,False,"Mary, however, continued to console herself with such kind of moral extractions from the evil before them."
herself,avail,female,pronoun,dobj,False,"In the afternoon, the two elder Miss Bennets were able to be for half an hour by themselves; and Elizabeth instantly availed herself of the opportunit"
she,prepare,female,pronoun,dobj,True,"Kitty then owned, with a very natural triumph on knowing more than the rest of us, that in Lydia’s last letter she had prepared her for such a step."
he,tell,male,pronoun,dobj,True,"Tell him I hope he will excuse me when he knows all, and tell him I will dance with him at the next ball we meet with great pleasure."
he,tell,male,pronoun,dobj,True,"Tell him I hope he will excuse me when he knows all, and tell him I will dance with him at the next ball we meet with great pleasure."
she,persuade,female,pronoun,dobj,True,"Whatever he might afterwards persuade her to, it was not on her side a _scheme_ of infamy."
man,blacken,male,role_noun,dobj,False,"All Meryton seemed striving to blacken the man who, but three months before, had been almost an angel of light."
brother,find,male,role_noun,dobj,False,"Mr. Gardiner left Longbourn on Sunday; on Tuesday, his wife received a letter from him: it told them, that on his arrival he had immediately found out"
he,persuade,male,pronoun,dobj,False,"Mr. Gardiner left Longbourn on Sunday; on Tuesday, his wife received a letter from him: it told them, that on his arrival he had immediately found out"
he,assist,male,pronoun,dobj,False,"Mr. Gardiner himself did not expect any success from this measure; but as his brother was eager in it, he meant to assist him in pursuing it."
himself,conceal,male,pronoun,dobj,True,"There was also a postscript to this effect:-- “I have written to Colonel Forster to desire him to find out, if possible, from some of the young man’s "
she,leave,female,pronoun,dobj,False,"Let me advise you, then, my dear sir, to console yourself as much as possible, to throw off your unworthy child from your affection for ever, and leav"
father,see,male,role_noun,dobj,False,"Mr. Gardiner added, in his letter, that they might expect to see their father at home on the following day, which was Saturday."
wickham,fight,male,name,dobj,True,"Who is to fight Wickham, and make him marry her, if he comes away?”"
she,marry,female,pronoun,dobj,True,"Who is to fight Wickham, and make him marry her, if he comes away?”"
she,attend,female,pronoun,dobj,False,"Mrs. Gardiner went away in all the perplexity about Elizabeth and her Derbyshire friend, that had attended her from that part of the world."
he,take,male,pronoun,dobj,False,He said as little as he had ever been in the habit of saying; made no mention of the business that had taken him away; and it was some time before his
she,meet,female,pronoun,dobj,False,"Two days after Mr. Bennet’s return, as Jane and Elizabeth were walking together in the shrubbery behind the house, they saw the housekeeper coming tow"
she,approach,female,pronoun,dobj,False,"Two days after Mr. Bennet’s return, as Jane and Elizabeth were walking together in the shrubbery behind the house, they saw the housekeeper coming tow"
he,seek,male,pronoun,dobj,False,They ran through the vestibule into the breakfast-room; from thence to the library;--their father was in neither; and they were on the point of seekin
she,marry,female,pronoun,dobj,True,“Can it be possible that he will marry her?”
he,think,male,pronoun,dobj,True,"“Wickham is not so undeserving, then, as we have thought him,” said her sister."
he,entreat,male,pronoun,dobj,False,Most earnestly did she then entreat him to lose no more time before he wrote.
he,pay,male,pronoun,dobj,True,"But there are two things that I want very much to know:--one is, how much money your uncle has laid down to bring it about; and the other, how I am ev"
lydia,marry,female,name,dobj,True,"“I mean that no man in his proper senses would marry Lydia on so slight a temptation as one hundred a year during my life, and fifty after I am gone.”"
himself,distress,male,pronoun,dobj,True,"Generous, good man, I am afraid he has distressed himself."
she,take,female,pronoun,dobj,True,"“Wickham’s a fool if he takes her with a farthing less than ten thousand pounds: I should be sorry to think so ill of him, in the very beginning of ou"
lydia,marry,female,name,dobj,True,"“I comfort myself with thinking,” replied Jane, “that he certainly would not marry Lydia, if he had not a real regard for her."
he,clear,male,pronoun,dobj,True,"Though our kind uncle has done something towards clearing him, I cannot believe that ten thousand pounds, or anything like it, has been advanced."
she,take,female,pronoun,dobj,True,"Their taking her home, and affording her their personal protection and countenance, is such a sacrifice to her advantage as years of gratitude cannot "
she,marry,female,pronoun,dobj,True,"His consenting to marry her is a proof, I will believe, that he is come to a right way of thinking."
father,ask,male,role_noun,dobj,False,"They went to the library, therefore, and asked their father whether he would not wish them to make it known to her."
herself,contain,female,pronoun,dobj,False,Mrs. Bennet could hardly contain herself.
she,see,female,pronoun,dobj,True,I shall see her again!
she,see,female,pronoun,dobj,True,How I long to see her! and to see dear Wickham too!
wickham,see,male,name,dobj,True,How I long to see her! and to see dear Wickham too!
he,ask,male,pronoun,dobj,True,"Lizzy, my dear, run down to your father, and ask him how much he will give her."
she,give,female,pronoun,dobj,True,"Lizzy, my dear, run down to your father, and ask him how much he will give her."
himself,pledge,male,pronoun,dobj,True,We are persuaded that he has pledged himself to assist Mr. Wickham with money.”
wickham,assist,male,name,dobj,True,We are persuaded that he has pledged himself to assist Mr. Wickham with money.”
she,persuade,female,pronoun,dobj,False,"She was then proceeding to all the particulars of calico, muslin, and cambric, and would shortly have dictated some very plentiful orders, had not Jan"
he,survive,male,pronoun,dobj,False,"Mr. Bennet had very often wished, before this period of his life, that, instead of spending his whole income, he had laid by an annual sum, for the be"
son,have,male,role_noun,dobj,False,"When first Mr. Bennet had married, economy was held to be perfectly useless; for, of course, they were to have a son."
daughter,marry,female,role_noun,dobj,False,"He had never before supposed that, could Wickham be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by"
she,seek,female,pronoun,dobj,False,"When the first transports of rage which had produced his activity in seeking her were over, he naturally returned to all his former indolence."
she,marry,female,pronoun,dobj,False,"But there was much to be talked of, in marrying her; and the good-natured wishes for her well-doing, which had proceeded before from all the spiteful "
she,have,female,pronoun,dobj,True,"I could not bear to have her ten miles from me; and as for Purvis Lodge, the attics are dreadful.”"
she,mortify,female,pronoun,dobj,False,There were few people on whose secrecy she would have more confidently depended; but at the same time there was no one whose knowledge of a sister’s f
himself,connect,male,pronoun,dobj,False,"Had Lydia’s marriage been concluded on the most honourable terms, it was not to be supposed that Mr. Darcy would connect himself with a family, where "
herself,assure,female,pronoun,dobj,False,"The wish of procuring her regard, which she had assured herself of his feeling in Derbyshire, could not in rational expectation survive such a blow as"
she,suit,female,pronoun,dobj,False,"She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her."
he,assist,male,pronoun,dobj,True,"It is Mr. Wickham’s intention to go into the Regulars; and, among his former friends, there are still some who are able and willing to assist him in t"
he,inform,male,pronoun,dobj,True,"I have written to Colonel Forster, to inform him of our present arrangements, and to request that he will satisfy the various creditors of Mr. Wickham"
she,send,female,pronoun,dobj,True,"“She is so fond of Mrs. Forster,” said she, “it will be quite shocking to send her away!"
he,urge,male,pronoun,dobj,False,"But Jane and Elizabeth, who agreed in wishing, for the sake of their sister’s feelings and consequence, that she should be noticed on her marriage by "
she,receive,female,pronoun,dobj,False,"But Jane and Elizabeth, who agreed in wishing, for the sake of their sister’s feelings and consequence, that she should be noticed on her marriage by "
daughter,show,female,role_noun,dobj,False,"And their mother had the satisfaction of knowing, that she should be able to show her married daughter in the neighbourhood, before she was banished t"
herself,attend,female,pronoun,dobj,False,"Their arrival was dreaded by the elder Miss Bennets--and Jane more especially, who gave Lydia the feelings which would have attended herself, had _she"
she,embrace,female,pronoun,dobj,False,"Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand with an affectionate smile to Wickham, who followed his lady; "
she,welcome,female,pronoun,dobj,False,"Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand with an affectionate smile to Wickham, who followed his lady; "
lady,follow,female,role_noun,dobj,False,"Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand with an affectionate smile to Wickham, who followed his lady; "
he,provoke,male,pronoun,dobj,False,"The easy assurance of the young couple, indeed, was enough to provoke him."
lydia,see,female,name,dobj,False,"She then joined them soon enough to see Lydia, with anxious parade, walk up to her mother’s right hand, and hear her say to her eldest sister,-- “Ah, "
husband,get,male,role_noun,dobj,True,That is the place to get husbands.
husband,get,male,role_noun,dobj,True,"“And then when you go away, you may leave one or two of my sisters behind you; and I dare say I shall get husbands for them before the winter is over."
husband,get,male,role_noun,dobj,True,"“I thank you for my share of the favour,” said Elizabeth; “but I do not particularly like your way of getting husbands.”"
she,please,female,pronoun,dobj,False,"Those that best pleased her, as placing his conduct in the noblest light, seemed most improbable."
she,convince,female,pronoun,dobj,False,"She was no sooner in possession of it, than hurrying into the little copse, where she was least likely to be interrupted, she sat down on one of the b"
he,disgrace,male,pronoun,dobj,True,"If he _had another_ motive, I am sure it would never disgrace him."
herself,maintain,female,pronoun,dobj,True,"She then took a large house in Edward Street, and has since maintained herself by letting lodgings."
wickham,see,male,name,dobj,True,"He saw Wickham, and afterwards insisted on seeing Lydia."
lydia,see,female,name,dobj,True,"He saw Wickham, and afterwards insisted on seeing Lydia."
she,persuade,female,pronoun,dobj,True,", he acknowledged, had been to persuade her to quit her present disgraceful situation, and return to her friends as soon as they could be prevailed on"
she,receive,female,pronoun,dobj,True,", he acknowledged, had been to persuade her to quit her present disgraceful situation, and return to her friends as soon as they could be prevailed on"
wickham,leave,male,name,dobj,True,She cared for none of her friends; she wanted no help of his; she would not hear of leaving Wickham.
himself,confess,male,pronoun,dobj,True,He confessed himself obliged to leave the regiment on account of some debts of honour which were very pressing; and scrupled not to lay all the ill co
sister,marry,female,role_noun,dobj,True,Mr. Darcy asked why he did not marry your sister at once.
he,see,male,pronoun,dobj,True,"He did not judge your father to be a person whom he could so properly consult as your uncle, and therefore readily postponed seeing him till after the"
he,see,male,pronoun,dobj,True,"They met again on Sunday, and then _I_ saw him too."
he,rob,male,pronoun,dobj,True,"But at last your uncle was forced to yield, and instead of being allowed to be of use to his niece, was forced to put up with only having the probable"
he,know,male,pronoun,dobj,True,_He_ was exactly what he had been when I knew him in Hertfordshire; but I would not tell you how little I was satisfied with _her_ behaviour while she
elizabeth,recollect,female,name,dobj,True,"I was sometimes quite provoked; but then I recollected my dear Elizabeth and Jane, and for their sakes had patience with her."
